"year","level","age_d","sex","n_d","lower_age","upper_age","deaths","deaths-adj","qx","k","q28_5","reg_year","p.qx","p.qx_p","p.qx_m","deaths_28"
2011,"WEST MARMARA",21,"total",7,0,28,5,5,0.00645537141467624,-0.0298445277541866,0.00483487518545986,"2011 WEST MARMARA",0.00570832698994871,0.00773452266314043,0.00433513555778282,227
2012,"Aegean",21,"total",7,0,28,52,52,0.00855624086235486,-0.186505416349491,0.00563824442192524,"2012 Aegean",0.00664331672738037,0.0088990052860469,0.00508197354844324,1113
2012,"Central Anatolia",21,"total",7,0,28,25,25,0.00738546403640724,0.190692803106522,0.00669352722088306,"2012 Central Anatolia",0.00779245393012265,0.0103058778560067,0.00601275654599191,440
2012,"Central East Anatolia",21,"total",7,0,28,47,47,0.00720782933274519,1.20792396756577,0.0133544135325019,"2012 Central East Anatolia",0.0136223568973979,0.0171988852462211,0.0108865187824681,615
2012,"East Black Sea",21,"total",7,0,28,8,8,0.00773503429392205,-0.150364984008084,0.00522981564618445,"2012 East Black Sea",0.00617491510168209,0.00831815627292745,0.0047065559017427,240
2012,"East Marmara",21,"total",7,0,28,49,49,0.00733544056866436,-0.228602652213819,0.00459061648788824,"2012 East Marmara",0.00541274920557799,0.00736191265242143,0.00410124155259382,754
2012,"İstanbul",21,"total",7,0,28,69,69,0.00577901755856584,0.112803092786249,0.00487662629205706,"2012 İstanbul",0.00575830716878674,0.00779729929101202,0.00437479465937663,1239
2012,"Mediterranean",21,"total",7,0,28,64,64,0.0083042838091771,0.0572405341746226,0.0068145846806423,"2012 Mediterranean",0.00791906180313032,0.0104595084663464,0.00611608342689224,1349
2012,"Northeast Anatolia",21,"total",7,0,28,22,22,0.00777416451139457,0.933646326906253,0.0122086394149773,"2012 Northeast Anatolia",0.0127501074744995,0.0161850839628596,0.0101452746381722,396
2012,"Southeast Anatolia",21,"total",7,0,28,112,112,0.00950294674046418,0.61317773974416,0.0124140414301603,"2012 Southeast Anatolia",0.0129096188192152,0.0163708189111848,0.0102805790401667,2091
2012,"WEST ANATOLIA",21,"total",7,0,28,28,28,0.00724483293884437,-0.00370306461142616,0.00557055739954883,"2012 WEST ANATOLIA",0.00656665183018467,0.00880425804546002,0.00502035997927724,782
2012,"WEST BLACK SEA",21,"total",7,0,28,19,19,0.00722992418282532,0.18728599043112,0.00652294661290328,"2012 WEST BLACK SEA",0.00761230893749566,0.0100868476423496,0.00586598983258746,419
2012,"WEST MARMARA",21,"total",7,0,28,17,17,0.00778520607270922,-0.232188938341507,0.00486792100920638,"2012 WEST MARMARA",0.0057478990420273,0.00778423167363723,0.00436653328382678,291
2013,"Aegean",21,"total",7,0,28,32,32,0.00576707131885967,0.202000078073768,0.00522105446228963,"2013 Aegean",0.00616471272112542,0.00830545046858523,0.00469840665109566,752
2013,"Central Anatolia",21,"total",7,0,28,15,15,0.00623164896193756,0.266057757684872,0.00593392156574574,"2013 Central Anatolia",0.00697387800203062,0.00930617992890702,0.00534835875630984,370
