"year","level","age_d","sex","n_d","lower_age","upper_age","deaths","deaths-adj","qx","k","q28_5","reg_year","p.qx","p.qx_p","p.qx_m","deaths_28"
2014,"batman",21,"total",7,0,28,11,11,0.0111303137700566,0.0130389710480526,0.0092764033150634,"2014 batman",0.0102981256678508,0.0133072131009531,0.00808163177287152,158
2014,"bayburt",21,"total",7,0,28,0,0,0.00698132604488307,0.545907293470115,0.00824883821105403,"2014 bayburt",0.00934715359944087,0.0121769151252076,0.00729089956526776,9
2014,"bilecik",21,"total",7,0,28,3,3,0.007264840454382,-0.884626943748072,0.00202704554678867,"2014 bilecik",0.00199931470028293,0.00281937150079498,0.00149288955958785,16
2014,"bingol",21,"total",7,0,28,2,2,0.00962175222065152,0.188391852809813,0.00903881176513038,"2014 bingol",0.0100830636740966,0.0130524027575717,0.00790227827524966,49
2014,"bitlis",21,"total",7,0,28,6,6,0.00934663208448754,0.331036341534609,0.00980594184839356,"2014 bitlis",0.0107677182456439,0.0138620981125786,0.00847426084410144,77
2014,"bolu",21,"total",7,0,28,1,1,0.00525295868007277,-0.229408461136328,0.00333067937658832,"2014 bolu",0.00379925309809807,0.00527892841413213,0.00284580391795941,20
2014,"burdur",21,"total",7,0,28,1,1,0.0095598016997188,-0.00654613823057083,0.0075739935411746,"2014 burdur",0.00869103146738886,0.0113911846674186,0.00674910828502918,24
2014,"bursa",21,"total",7,0,28,15,15,0.00653773794288127,-0.295807792810782,0.00383106676884283,"2014 bursa",0.00445797896893269,0.00614049624822498,0.00335375310739985,267
2014,"canakkale",21,"total",7,0,28,2,2,0.00510540159645915,0.209086412806049,0.00466161278975972,"2014 canakkale",0.00549922522519483,0.0074711710987252,0.00416955519211421,31
2014,"cankiri",21,"total",7,0,28,1,1,0.00670689635899317,0.0091332856931691,0.00519772410731223,"2014 cankiri",0.00613751226325897,0.00827156388955498,0.00467668596609275,15
2014,"corum",21,"total",7,0,28,3,3,0.00623594814883364,0.0777158735160175,0.00511268535483616,"2014 corum",0.00603796741482764,0.00814740234876496,0.00459726954341461,41
2014,"denizli",21,"total",7,0,28,2,2,0.00579061194407515,0.118849226397198,0.00490995969071335,"2014 denizli",0.00579809800728159,0.00784723196912915,0.00440639072289084,90
2014,"diyarbakir",21,"total",7,0,28,12,12,0.00950432942364932,0.155599075873443,0.00866491940270908,"2014 diyarbakir",0.00973886554630865,0.0126436329483556,0.00761586245263856,395
2014,"duzce",21,"total",7,0,28,0,0,0.00740686075483878,-0.0160409098565611,0.00564158871103452,"2014 duzce",0.00664709488219009,0.00890367142745705,0.00508501160914501,38
2014,"edirne",21,"total",7,0,28,0,0,0.0050912579688207,-0.234029743993372,0.00322627421918658,"2014 edirne",0.00365895457529728,0.00509310112618232,0.00273849155431483,17
